doc1.html: 1.1  Preface
doc144.html: 10.2  Creating a scene
doc145.html: 10.3  Using the Scene index
doc146.html: 10.4  During scenes
doc147.html: 10.5  Linking scenes together
doc148.html: 10.6  More general linkages
doc149.html: 10.7  Multiple beginnings and repeats
doc150.html: 10.8  Multiple endings
doc151.html: 10.9  Why are scenes designed this way?
doc152.html: 10.10  Review of Chapter 10: Scenes
doc153.html: 11.1  Fitting values into phrases
doc154.html: 11.2  The phrasebook
doc155.html: 11.3  Pattern matching
doc156.html: 11.4  Conditions and questions
doc157.html: 11.5  If
doc158.html: 11.6  While
doc159.html: 11.7  Begin and end
doc160.html: 11.8  Otherwise
doc161.html: 11.9  Repeat
doc162.html: 11.10  Repeat running through
doc163.html: 11.11  Phrases which use descriptions
doc164.html: 11.12  Phrase options
doc165.html: 11.13  Let and temporary variables
doc166.html: 11.14  New conditions, new adjectives
doc167.html: 11.15  Phrases to decide other things
doc168.html: 11.16  The value after and the value before
doc169.html: 11.17  In what order?
doc170.html: 11.18  Ambiguities
doc171.html: 11.19  Review of Chapter 11: Phrases
doc172.html: 12.1  A recap of actions
doc173.html: 12.2  How actions are processed
doc174.html: 12.3  Giving instructions to other people
doc175.html: 12.4  Persuasion
doc176.html: 12.5  Unsuccessful attempts
doc177.html: 12.6  Spontaneous actions by other people
doc178.html: 12.7  New actions
doc179.html: 12.8  Irregular English verbs
doc180.html: 12.9  Check, carry out, report
doc181.html: 12.10  Making actions work for other people
doc182.html: 12.11  Check rules for actions by other people
doc183.html: 12.12  Report rules for actions by other people
doc184.html: 12.13  Out of world actions
doc185.html: 12.14  Reaching inside and reaching outside rules
doc186.html: 12.15  Visible vs touchable vs carried
doc187.html: 12.16  Changing reachability
doc188.html: 12.17  Changing visibility
doc189.html: 12.18  Guidelines on how to write rules about actions
doc190.html: 13.1  Sentence verbs
doc191.html: 13.2  What sentences are made up from
doc192.html: 13.3  What are relations?
doc193.html: 13.4  To carry, to wear, to have
doc194.html: 13.5  Making new relations
doc195.html: 13.6  Making reciprocal relations
doc196.html: 13.7  Relations in groups
doc197.html: 13.8  The built-in verbs and their meanings
doc198.html: 13.9  Defining new assertion verbs
doc199.html: 13.10  Defining new prepositions
doc200.html: 13.11  Indirect relations
doc201.html: 13.12  Relations which express conditions
doc202.html: 13.13  Relations involving values
doc203.html: 13.14  What are relations for?
doc204.html: 13.15  Review of Chapter 13: Relations
doc205.html: 14.1  The measure of all things
doc206.html: 14.2  Numbers
doc207.html: 14.3  Whereabouts on a scale?
doc208.html: 14.4  Comparing objects
doc209.html: 14.5  Superlatives
doc210.html: 14.6  Units
doc211.html: 14.7  More on specifications
doc212.html: 14.8  Multiple-number specifications
doc213.html: 14.9  The parts of a number specification
doc214.html: 14.10  Understanding specified numbers
doc215.html: 14.11  Limits on the size of numbers
doc216.html: 14.12  Arithmetic with units
doc217.html: 14.13  Multiplication of units
doc218.html: 14.14  Totals
doc219.html: 14.15  Making the verb "to weigh"
doc220.html: 15.1  Laying out tables
doc221.html: 15.2  Looking up entries
doc222.html: 15.3  Corresponding entries
doc223.html: 15.4  Changing entries
doc224.html: 15.5  Choosing rows
doc225.html: 15.6  Repeating through tables
doc226.html: 15.7  Blank entries
doc227.html: 15.8  Blank columns
doc228.html: 15.9  Blank rows
doc229.html: 15.10  Adding and removing rows
doc230.html: 15.11  Sorting
doc231.html: 15.12  Listed in...
doc232.html: 15.13  Topic columns
doc233.html: 15.14  Another scoring example
doc234.html: 15.15  Varying which table to look at
doc235.html: 15.16  Defining things with tables
doc236.html: 15.17  Defining values with tables
doc237.html: 15.18  Table continuations
doc238.html: 16.1  Understand
doc239.html: 16.2  New commands for old grammar
doc240.html: 16.3  Overriding existing commands
doc241.html: 16.4  Standard tokens of grammar
doc242.html: 16.5  The text token
doc243.html: 16.6  Actions applying to kinds of value
doc244.html: 16.7  Understanding any, understanding rooms
doc245.html: 16.8  Understanding kinds of value
doc246.html: 16.9  Commands consisting only of nouns
doc247.html: 16.10  Understanding values
doc248.html: 16.11  This/that
doc249.html: 16.12  New tokens
doc250.html: 16.13  Tokens can produce values
doc251.html: 16.14  Understanding things by their properties
doc252.html: 16.15  Context: understanding when
doc253.html: 16.16  Does the player mean...
doc254.html: 16.17  Understanding mistakes
doc255.html: 16.18  Precedence
doc256.html: 17.1  What are activities?
doc257.html: 17.2  How activities work
doc258.html: 17.3  Rules applied to activities
doc259.html: 17.4  While clauses
doc260.html: 17.5  New activities
doc261.html: 17.6  Beginning and ending activities manually
doc262.html: 17.7  Introduction to the list of built-in activities
doc263.html: 17.8  Deciding the concealed possessions of something
doc264.html: 17.9  Printing the name of something
doc265.html: 17.10  Printing the plural name of something
doc266.html: 17.11  Listing contents of something
doc267.html: 17.12  Grouping together something
doc268.html: 17.13  Printing room description details of something
doc269.html: 17.14  Printing a refusal to act in the dark
doc270.html: 17.15  Printing the announcement of darkness
doc271.html: 17.16  Printing the name of a dark room
doc272.html: 17.17  Printing the description of a dark room
doc273.html: 17.18  Constructing the status line
doc274.html: 17.19  Writing a paragraph about
doc275.html: 17.20  Listing nondescript items of something
doc276.html: 17.21  Deciding the scope of something
doc277.html: 17.22  Clarifying the parser's choice of something
doc278.html: 17.23  Asking which do you mean
doc279.html: 17.24  Supplying a missing noun/second noun
doc280.html: 17.25  Reading a command
doc281.html: 17.26  Implicitly taking something
doc282.html: 17.27  Printing a parser error
doc283.html: 17.28  Deciding whether all includes
doc284.html: 17.29  Printing the banner text
doc285.html: 17.30  Printing the player's obituary
doc286.html: 17.31  Amusing a victorious player
doc287.html: 17.32  Starting the virtual machine
doc288.html: 18.1  On rules
doc289.html: 18.2  Named rules and rulebooks
doc290.html: 18.3  New rules
doc291.html: 18.4  Listing rules explicitly
doc292.html: 18.5  Sorting and indexing of rules
doc293.html: 18.6  The preamble of a rule
doc294.html: 18.7  New rulebooks
doc295.html: 18.8  Action- vs object-based-rulebooks
doc296.html: 18.9  Success and failure
doc297.html: 18.10  Named outcomes
doc298.html: 18.11  Outcome values
doc299.html: 18.12  Procedural rules
doc300.html: 18.13  Phrases concerning rules
doc301.html: 18.14  Consider and abide
doc302.html: 18.15  Consider is not the same as follow
doc303.html: 18.16  Two rulebooks used internally
doc304.html: 18.17  The Laws for Sorting Rulebooks
doc305.html: 18.18  Review of Chapter 18: Rulebooks
doc306.html: 19.1  How IF views pictures
doc307.html: 19.2  Virtual machines and story file formats
doc308.html: 19.3  Gathering the figures
doc309.html: 19.4  Declaring and previewing the figures
doc310.html: 19.5  Displaying the figures
doc311.html: 19.6  Some technicalities
doc312.html: 20.1  Finding a readership
doc313.html: 20.2  How a novel is published
doc314.html: 20.3  How interactive fiction is published
doc315.html: 20.4  Bibliographic data
doc316.html: 20.5  Genres
doc317.html: 20.6  The Library Card
doc318.html: 20.7  The Treaty of Babel and the IFID
doc319.html: 20.8  The Release button
doc320.html: 20.9  The Joy of Feelies
doc321.html: 20.10  The Materials folder
doc322.html: 20.11  Cover art
doc323.html: 20.12  An introductory booklet
doc324.html: 20.13  A website
doc325.html: 20.14  Website templates
doc326.html: 20.15  Republishing existing works of IF
doc327.html: 20.16  Walkthrough solutions
doc328.html: 20.17  Releasing the source text
doc329.html: 20.18  Improving the index map
doc330.html: 20.19  Producing an EPS format map
doc331.html: 20.20  Settings in the map-maker
doc332.html: 20.21  Table of map-maker settings
doc333.html: 20.22  Kinds of value accepted by the map-maker
doc334.html: 20.23  Titling and abbreviation
doc335.html: 20.24  Rubrics
doc336.html: 21.1  The status of extensions
doc337.html: 21.2  The Standard Rules
doc338.html: 21.3  Authorship
doc339.html: 21.4  A simple example extension
doc340.html: 21.5  Version numbering
doc341.html: 21.6  Extensions and story file formats
doc342.html: 21.7  Extensions can include other extensions
doc343.html: 21.8  Extensions in the Index
doc344.html: 21.9  Extension documentation
doc345.html: 21.10  Examples in extension documentation
doc346.html: 21.11  Implications
doc347.html: 21.12  Using Inform 6 within Inform 7
doc348.html: 21.13  Defining phrases in Inform 6
doc349.html: 21.14  Phrases to decide in Inform 6
doc350.html: 21.15  Handling phrase options
doc351.html: 21.16  Types are not kinds of value
doc352.html: 21.17  Catalogue of named Inform 7 types
doc353.html: 21.18  Making and testing use options
doc354.html: 21.19  Longer extracts of Inform 6 code
doc355.html: 21.20  Inform 6 objects and classes
doc356.html: 21.21  Inform 6 grammar, actions and rules
doc357.html: 21.22  Inform 6 properties and attributes
